Fly	Cross	eye	Cop_start	Cop_end	Duration	Mate	Freeze	Freeze_Day	Freeze_Time	1Egg	1Hatch	2Egg	2Hatch	3Egg	3Hatch	4Egg	4Hatch	DiedEarly	NoYeastFirst	MaybeMixUp	ReasonExclude	eye2	ST	PO	Plug	Egg	SRsperm	STsperm1	STsperm2	FRTabnormal	EyeMismatch	AnnotationMixup	EggOviduct	EggDegen	NoSpermXfer	ExcludeMismatch
1	63x64	dent	9:28	10:08	0:40	Y	96	19		74	44	28	16	13	9	49	34	N	N	N	N	dent	2	0	N	N	6	30	50	N	N	N	N	N	N	N
2	63x64	dent	9:04	9:36	0:32	Y	96	19		64	32	0	0	42	39	0	0	N	N	N	N	dent	2	0	N	N	6	42	26	N	N	N	N	N	N	N
3	63x64	dent	11:47	12:21	0:34	Y	48	17	15:20	43	36	14	10					N	N	N	N	dent	2	0	N	N	2	75	41	N	N	N	N	N	N	N
4	63x64	dent	9:47	10:33	0:46	Y	72	18	12:35	28	18	0	0	1	1			N	N	N	N	dent	2	0	N	N	29	40								N
5	63x64	dent	10:11	10:56	0:45	Y	96	19		57	30	0	0	1	1	4	3	N	N	N	N	dent	2	0	N	N	26									N
6	63x64	dent	9:22	9:54	0:32	Y	96	19		57	39	0	0	19	19	6	5	N	N	N	N	dent	2	0	N	N	33	49	64	N	N	N	N	N	N	N
7	63x64	dent	9:40	10:18	0:38	Y	72	18	12:35	68	32	22	15	0	0			N	N	N	N	dent	1	0	N	N	22	35		Y	N	N	N	N	N	N
8	63x64	dent	9:36	10:08	0:32	Y	96	19		56	37	0	0	1	1	29	15	N	N	N	N	dent	2	0	N	N	34	56	54	N	N	N	N	N	N	N
9	63x64	dent	9:32	10:08	0:36	Y	96	19		48	33	0	0	1	1	11	4	N	N	N	N	dent	2	0	N	N	230	64	65	N	N	N	N	N	N	N
10	63x64	dent	12:42	13:19	0:37	Y	48	17	15:20	0	0	0	0					N	Y	N	Y	WT	2	0	N	N	350	63	82	N	Y	N	N	N	N	N
11	63x64	dent	9:17	9:54	0:37	Y	96	19		46	17	0	0	0	0	1	0	N	N	N	N	dent	2	0	N	N	320	22	51	N	N	N	N	N	N	N
12	63x64	dent	9:22	9:59	0:37	Y	96	19		56	23	0	0	68	22	35	27	N	N	N	N	dent	2	0	N	N	1	23	53	N	N	N	N	N	N	N
13	63x64	dent	9:17	9:54	0:37	Y	96	19		54	34	0	0	58	48	1	1	N	N	N	N	dent	2	0	N	N	4	21	79	N	N	N	N	N	N	N
14	63x64	dent	11:10	11:43	0:33	Y	6	15	17:45	0	0							N	N	N	N	dent	2	0	N	N	492	60	75	N	N	N	N	N	N	N
15	63x64	dent	9:10	9:47	0:37	Y	96	19		68	51	0	0	0	0	1	1	N	N	N	N	dent	2	0	N	N	32	36	24	N	N	N	N	N	N	N
16	63x64	dent	9:39	10:11	0:32	Y	72	18	12:35	39	24	0	0	0	0			N	N	N	N	dent	2	0	N	N	298	22	19	N	N	N	N	N	N	N
17	63x64	dent	9:18	9:49	0:31	Y	96	19		31	13	0	0	9	6	0	0	N	N	N	N	dent	2	0	N	N	187	54	35	N	N	N	N	N	N	N
18	63x64	dent	12:21	12:52	0:31	Y	2	15	14:50	0	0							N	Y	N	Y	dent	2	0	Y	N	518			N	N	N	N	N	N	N
19	63x64	dent	11:10	11:38	0:28	Y	6			0	0							N	N	N	N	dent	2	0	N	N	334	48	65	N	N	N	N	N	N	N
20	63x64	dent	12:34	13:06	0:32	Y	2	15	15:12	0	0							N	Y	N	Y	dent	2	0	Y	N				N	N	N	N	N	N	N
21	63x64	dent	10:08	11:03	0:55	Y	24	16	11:40	48	26							N	N	N	N	dent	2	0	N	N	366	78	86	N	N	N	N	N	N	N
22	63x64	dent	10:28	11:10	0:42	Y	24	16	11:40	41	23							N	N	N	N	dent	2	0	N	Y	341			N	N	N	N	N	N	N
23	63x64	dent	9:26	10:08	0:42	Y	72	18	12:35	44	26	0	0	30	14			N	N	N	N	dent	2	0	N	N	28	15	37	N	N	N	N	N	N	N
24	63x64	dent	9:51	10:29	0:38	Y	72	18	12:35	44	21	1	1	0	0			N	N	N	N	dent	2	0	N	N	119	107	64	N	N	N	N	N	N	N
25	63x64	dent	9:43	10:28	0:45	Y	72	18	12:35	30	23	52	32	20	12			N	N	N	N	dent	2	0	N	Y	96	14	125	N	N	N	N	N	N	N
26	63x64	dent	10:52	11:28	0:36	Y	6	15	17:40	7	1							N	N	N	N	dent	2	0	N	Y	396	29	51	N	N	N	N	N	N	N
27	63x64	dent	9:59	10:48	0:49	Y	24	16	11:40	38	6							N	N	N	N	dent	2	0	N	N	300	75	89	N	N	N	N	N	N	N
28	63x64	dent	9:22	9:59	0:37	Y	96	19		48	30	0	0	24	16	0	0	N	N	N	N	dent	2	0	N	N	268	75	68	N	N	N	N	N	N	N
29	63x64	dent				N												N	N	N	N															N
30	63x64	dent	9:33	10:08	0:35	Y	96	19		48	26	17	16	1	1	0	0	N	N	N	N															N
31	63x64	dent	9:40	10:42	1:02	Y	72	18	12:35	38	34	0	0	1	0			N	N	N	N	dent	2	0	N	N	7	60	58	N	N	N	N	N	N	N
32	63x64	dent	9:22	9:59	0:37	Y	96	19		59	56	0	0	57	40	0	0	N	N	N	N	dent	2	0	N	N	276	52	72	N	N	N	N	N	N	N
33	63x64	dent	10:29	11:10	0:41	Y	24	16	11:40	53	24							N	N	N	N	dent	2	0	N	N	388	24	78	N	N	N	N	N	N	N
34	63x64	dent	9:22	9:56	0:34	Y	96	19		53	28	2	0	0	0	62	46	N	N	N	N	dent	2	0	N	N	0	40		N	N	N	N	N	N	N
35	63x64	dent	10:22	11:03	0:41	Y	24	16	11:40	38	19							N	N	N	N	dent	2	0	N	N	200	79	91	N	N	N	N	N	N	N
36	63x64	dent	9:17	9:47	0:30	Y	96	19		31	14	0	0	0		0	0	N	N	N	N	dent	2	0	N	N	238	29	58	N	N	N	N	N	N	N
