# submitted_item	validated_id	current_symbol
FBgn0011559	FBgn0011559	Acp36DE
FBgn0051872	FBgn0051872	CG31872
FBgn0264695	FBgn0264695	Mhc
FBgn0005666	FBgn0005666	bt
FBgn0265264	FBgn0265264	CG17097
FBgn0013733	FBgn0013733	shot
FBgn0250789	FBgn0250789	alpha-Spec
FBgn0267911	FBgn0284408	trol
FBgn0004181	FBgn0004181	Ebp
FBgn0250788	FBgn0250788	beta-Spec
FBgn0260745	FBgn0260745	mfas
FBgn0003149	FBgn0003149	Prm
FBgn0052311	FBgn0052311	zormin
FBgn0002855	FBgn0002855	Acp26Aa
FBgn0043825	FBgn0043825	CG18284
FBgn0085446	FBgn0085446	CG34417
FBgn0000046	FBgn0000046	Act87E
FBgn0000044	FBgn0000044	Act57B
FBgn0035612	FBgn0035612	frm
FBgn0003884	FBgn0003884	alphaTub84B
FBgn0000667	FBgn0000667	Actn
FBgn0000042	FBgn0000042	Act5C
FBgn0050395	FBgn0050395	CG30395
FBgn0053519	FBgn0053519	Unc-89
FBgn0028986	FBgn0028986	Spn38F
FBgn0002526	FBgn0002526	LanA
FBgn0010217	FBgn0010217	ATPsynbeta
FBgn0035240	FBgn0035240	CG33791
FBgn0031545	FBgn0031545	CG3213
FBgn0015586	FBgn0015586	Acp76A
FBgn0038373	FBgn0038373	CG4546
FBgn0260442	FBgn0260442	rhea
FBgn0034512	FBgn0034512	Bbd
FBgn0263598	FBgn0263598	Vha68-2
FBgn0010397	FBgn0010397	LamC
FBgn0003889	FBgn0003889	betaTub85D
FBgn0039071	FBgn0039071	bb8
FBgn0002856	FBgn0002856	Acp26Ab
FBgn0265434	FBgn0265434	zip
FBgn0267433	FBgn0267433	kl-5
FBgn0264975	FBgn0264975	Nrg
FBgn0039479	FBgn0039479	CG14257
FBgn0250847	FBgn0250847	CG14034
FBgn0010434	FBgn0010434	cora
FBgn0052064	FBgn0052064	S-Lap4
FBgn0004167	FBgn0004167	kst
FBgn0038918	FBgn0038918	Qsox3
FBgn0087002	FBgn0087002	apolpp
FBgn0040098	FBgn0040098	lectin-29Ca
FBgn0034474	FBgn0034474	Obp56g
FBgn0011722	FBgn0011722	Tig
FBgn0263006	FBgn0263006	SERCA
FBgn0261439	FBgn0261439	SdhA
FBgn0050069	FBgn0050069	CG30069
FBgn0032868	FBgn0032868	CG17472
FBgn0267348	FBgn0267348	LanB2
FBgn0003887	FBgn0284243	betaTub56D
FBgn0011211	FBgn0011211	blw
FBgn0034860	FBgn0034860	CG9812
FBgn0267432	FBgn0267432	kl-3
FBgn0036837	FBgn0036837	CG18135
FBgn0266599	FBgn0266599	Hsc70-4
FBgn0004117	FBgn0004117	Tm2
FBgn0028988	FBgn0028988	Spn42Dd
FBgn0051680	FBgn0051680	CG31680
FBgn0028987	FBgn0028987	Spn28F
FBgn0020765	FBgn0020765	Acp65Aa
FBgn0259795	FBgn0259795	loopin-1
FBgn0036186	FBgn0036186	CG6071
FBgn0014002	FBgn0286818	Pdi
FBgn0000116	FBgn0000116	Argk
FBgn0053470	FBgn0053470	CG33470
FBgn0033868	FBgn0033868	S-Lap7
FBgn0035915	FBgn0035915	S-Lap1
FBgn0014141	FBgn0014141	cher
FBgn0033603	FBgn0033603	Cpr47Ef
FBgn0002921	FBgn0002921	Atpalpha
FBgn0261989	FBgn0261989	CG42807
FBgn0250814	FBgn0250814	UQCR-C2
FBgn0260766	FBgn0260766	CG42564
FBgn0002525	FBgn0002525	Lam
FBgn0001114	FBgn0001114	Glt
FBgn0004363	FBgn0004363	porin
FBgn0052351	FBgn0052351	S-Lap2
FBgn0032122	FBgn0032122	CG31883
FBgn0036969	FBgn0036969	Spn77Bb
FBgn0037038	FBgn0037038	CG11037
FBgn0040097	FBgn0040097	lectin-30A
FBgn0045770	FBgn0045770	S-Lap3
FBgn0028902	FBgn0028902	Tektin-A
FBgn0039897	FBgn0039897	CG1674
FBgn0265297	FBgn0265297	pAbp
FBgn0000592	FBgn0000592	Est-6
FBgn0262508	FBgn0262508	CG43078
FBgn0034153	FBgn0034153	Acp53C14b
FBgn0001112	FBgn0001112	Gld
FBgn0016123	FBgn0016123	Alp4
FBgn0037862	FBgn0037862	mAcon2
FBgn0001233	FBgn0001233	Hsp83
FBgn0040028	FBgn0040028	CG17450
FBgn0028479	FBgn0028479	Mtpalpha
FBgn0002773	FBgn0002773	Mlc2
FBgn0040093	FBgn0040093	lectin-46Ca
FBgn0031406	FBgn0031406	Send1
FBgn0041712	FBgn0041712	yellow-d
FBgn0032010	FBgn0032010	CG8086
FBgn0265180	FBgn0265180	CG44245
FBgn0261800	FBgn0261800	LanB1
FBgn0027580	FBgn0027580	PCB
FBgn0053113	FBgn0053113	Rtnl1
FBgn0036568	FBgn0036568	ATPsynbetaL
FBgn0034132	FBgn0034132	S-Lap8
FBgn0034229	FBgn0034229	CG4847
FBgn0038294	FBgn0038294	Mf
FBgn0039104	FBgn0039104	CG10252
FBgn0039562	FBgn0039562	Gp93
FBgn0033942	FBgn0033942	Cpr51A
FBgn0001218	FBgn0001218	Hsc70-3
FBgn0036970	FBgn0036970	Spn77Bc
FBgn0259975	FBgn0259975	Sfp87B
FBgn0004169	FBgn0004169	up
FBgn0003721	FBgn0003721	Tm1
FBgn0002645	FBgn0002645	Map205
FBgn0042119	FBgn0042119	Cpr65Au
FBgn0010352	FBgn0010352	Nc73EF
FBgn0283427	FBgn0283427	FASN1
FBgn0017566	FBgn0017566	ND-75
FBgn0033504	FBgn0033504	CAP
FBgn0261260	FBgn0261260	mgl
FBgn0052436	FBgn0052436	CG32436
FBgn0003423	FBgn0003423	slgA
FBgn0039425	FBgn0039425	Ald2
FBgn0034420	FBgn0034420	CG10737
FBgn0033446	FBgn0033446	CG1648
FBgn0016075	FBgn0016075	vkg
FBgn0050045	FBgn0050045	Cpr49Aa
FBgn0004397	FBgn0004397	Vinc
FBgn0083966	FBgn0083966	CG34130
FBgn0263594	FBgn0263594	lost
FBgn0265267	FBgn0265267	CG18258
FBgn0001258	FBgn0001258	Ldh
FBgn0069354	FBgn0069354	Porin2
FBgn0266446	FBgn0266446	CG45076
FBgn0003360	FBgn0003360	sesB
FBgn0013810	FBgn0013810	Dhc36C
FBgn0005671	FBgn0005671	Vha55
FBgn0028371	FBgn0028371	jbug
FBgn0039597	FBgn0039597	CG9997
FBgn0032265	FBgn0032265	CG18301
FBgn0032774	FBgn0032774	CG17549
FBgn0032464	FBgn0032464	Vha68-3
FBgn0029807	FBgn0029807	CG3108
FBgn0030828	FBgn0030828	CG5162
FBgn0030731	FBgn0030731	Mfe2
FBgn0263391	FBgn0263391	hts
FBgn0028670	FBgn0028670	Vha100-2
FBgn0039598	FBgn0039598	aqrs
FBgn0030362	FBgn0030362	regucalcin
FBgn0000559	FBgn0000559	eEF2
FBgn0262536	FBgn0262536	CG43090
FBgn0004045	FBgn0004045	Yp1
FBgn0283535	FBgn0283535	Vha26
FBgn0038208	FBgn0038208	CG14355
FBgn0035917	FBgn0035917	Zasp66
FBgn0259214	FBgn0259214	PMCA
FBgn0085356	FBgn0085356	CG34327
FBgn0000319	FBgn0000319	Chc
FBgn0052190	FBgn0052190	NUCB1
FBgn0020414	FBgn0020414	Idgf3
FBgn0015584	FBgn0015584	Acp53Ea
FBgn0019960	FBgn0019960	Mitofilin
FBgn0050488	FBgn0050488	antr
FBgn0014863	FBgn0014863	Mlp84B
FBgn0031629	FBgn0287234	slf
FBgn0052694	FBgn0052694	CG32694
FBgn0003137	FBgn0003137	Ppn
FBgn0029722	FBgn0029722	CG7024
FBgn0030589	FBgn0030589	CG9519
FBgn0052203	FBgn0052203	Spn75F
FBgn0283658	FBgn0283658	muc
FBgn0012036	FBgn0012036	Aldh
FBgn0004507	FBgn0004507	GlyP
FBgn0038271	FBgn0038271	UQCR-C1
FBgn0261258	FBgn0261258	rgn
FBgn0004047	FBgn0004047	Yp3
FBgn0038598	FBgn0038598	CG7131
FBgn0032061	FBgn0032061	CG9314
FBgn0029688	FBgn0029688	lva
FBgn0033919	FBgn0033919	CG8547
FBgn0034121	FBgn0034121	CG6262
FBgn0037249	FBgn0037249	eIF3a
FBgn0023213	FBgn0023213	eIF4G1
FBgn0027779	FBgn0027779	VhaSFD
FBgn0265991	FBgn0265991	Zasp52
FBgn0040092	FBgn0040092	lectin-46Cb
FBgn0037138	FBgn0037138	P5CDh1
FBgn0260462	FBgn0260462	CG12163
FBgn0011694	FBgn0011694	EbpII
FBgn0267488	FBgn0267488	Mcr
FBgn0019886	FBgn0284252	Letm1
FBgn0263120	FBgn0263120	Acsl
FBgn0032843	FBgn0032843	CG10730
FBgn0083938	FBgn0083938	BG642163
FBgn0000064	FBgn0000064	Ald1
FBgn0001220	FBgn0001220	Hsc70-5
FBgn0020503	FBgn0020503	CLIP-190
FBgn0259952	FBgn0259952	Sfp24Bb
FBgn0037643	FBgn0037643	ScsbetaA
FBgn0054002	FBgn0054002	CG34002
FBgn0051617	FBgn0051617	His1:CG31617
FBgn0020235	FBgn0020235	ATPsyngamma
FBgn0000454	FBgn0000454	Dip-B
FBgn0030691	FBgn0030691	Efhc1.1
FBgn0022355	FBgn0022355	Tsf1
FBgn0023415	FBgn0023415	Acp32CD
FBgn0010424	FBgn0010424	TpnC73F
FBgn0035348	FBgn0035348	CG16758
FBgn0030592	FBgn0030592	CG9514
FBgn0011225	FBgn0011225	jar
FBgn0038535	FBgn0038535	alt
FBgn0051352	FBgn0051352	Unc-115a
FBgn0029994	FBgn0029994	Ldsdh1
FBgn0032495	FBgn0032495	CG16820
FBgn0051418	FBgn0051418	CG31418
FBgn0267385	FBgn0267385	PyK
FBgn0040963	FBgn0040963	CG18662
FBgn0037607	FBgn0037607	CG8036
FBgn0005391	FBgn0005391	Yp2
FBgn0034499	FBgn0034499	Cpr56F
FBgn0000556	FBgn0284245	eEF1alpha1
FBgn0266451	FBgn0266451	fau
FBgn0033597	FBgn0033597	Cpr47Ea
FBgn0037988	FBgn0037988	CG14740
FBgn0036222	FBgn0036222	SdhAL
FBgn0086355	FBgn0086355	Tpi
FBgn0053523	FBgn0053523	CG33523
FBgn0038708	FBgn0038708	Scsalpha2
FBgn0031617	FBgn0031617	CG15635
FBgn0260386	FBgn0260386	mtg
FBgn0261059	FBgn0261059	Sfp78E
FBgn0262511	FBgn0262511	Vha44
FBgn0027291	FBgn0027291	Idh3a
FBgn0035042	FBgn0035042	CG3640
FBgn0261055	FBgn0261055	Sfp26Ad
FBgn0033246	FBgn0033246	ACC
FBgn0038921	FBgn0038921	Theg
FBgn0015039	FBgn0015039	Cyp9b2
FBgn0016691	FBgn0016691	ATPsynO
FBgn0026415	FBgn0026415	Idgf4
FBgn0031392	FBgn0031392	AIF
FBgn0010482	FBgn0010482	l(2)01289
FBgn0029836	FBgn0029836	CG5928
FBgn0035005	FBgn0035005	CG3483
FBgn0003279	FBgn0003279	RpL4
FBgn0038014	FBgn0038014	CG10041
FBgn0027570	FBgn0027570	Nep2
FBgn0038486	FBgn0038486	CG5265
FBgn0028692	FBgn0028692	Rpn2
FBgn0001089	FBgn0001089	Gal
FBgn0029176	FBgn0029176	eEF1gamma
FBgn0037240	FBgn0037240	Cont
FBgn0031476	FBgn0031476	CG8813
FBgn0034417	FBgn0034417	CG15117
FBgn0054034	FBgn0054034	CG34034
FBgn0051659	FBgn0051659	CG31659
FBgn0004401	FBgn0004401	Pep
FBgn0033663	FBgn0033663	ERp60
FBgn0000261	FBgn0000261	Cat
FBgn0027586	FBgn0027586	CG5867
FBgn0265045	FBgn0265045	Strn-Mlck
FBgn0038952	FBgn0038952	CG7069
FBgn0030703	FBgn0030703	MSBP
FBgn0036328	FBgn0036328	CG10749
FBgn0032773	FBgn0032773	fon
FBgn0016120	FBgn0016120	ATPsynD
FBgn0263231	FBgn0263231	bel
FBgn0039640	FBgn0039640	superdeath
FBgn0013995	FBgn0013995	Calx
FBgn0002622	FBgn0002622	RpS3
FBgn0259973	FBgn0259973	Sfp79B
FBgn0022160	FBgn0022160	Gpo1
FBgn0051413	FBgn0051413	Qsox4
FBgn0263289	FBgn0263289	scrib
FBgn0003274	FBgn0003274	RpLP2
FBgn0038069	FBgn0038069	CG11608
FBgn0035985	FBgn0035985	Cpr67B
FBgn0033862	FBgn0033862	CG6209
FBgn0028848	FBgn0028848	Gpo3
FBgn0034277	FBgn0034277	OstDelta
FBgn0019644	FBgn0019644	ATPsynB
FBgn0038181	FBgn0038181	CG9297
FBgn0053970	FBgn0053970	osy
FBgn0011747	FBgn0011747	Ank
FBgn0032472	FBgn0032472	CG9928
FBgn0025885	FBgn0025885	Inos
FBgn0034797	FBgn0034797	nahoda
FBgn0039737	FBgn0039737	CG7920
FBgn0034807	FBgn0034807	CG9897
