"FBgn" "gene_symbol" "chrom" "signal" "ML.omega" "tau" "tissuemax" "BURU" "OVDU" "SRU" "STU" "POU" "FBU" "WF" "FRT.WF" "Enrich" "BUR.enrich" "OVD.enrich" "SR.enrich" "ST.enrich" "PO.enrich" "FB.enrich" "FM" "SFP" "Testis" "AG" "Gut" "Carcass" "HeadAvg" "OvaryAvg" "tissuemaxME" "BUR.6" "BUR.24" "BUR.post" "OVD.6" "OVD.24" "OVD.post" "SR.6" "SR.24" "SR.post" "ST.6" "ST.24" "ST.post" "PO.6" "PO.24" "PO.post" "FB.6" "FB.24" "FB.post" "FRT.up6" "FRT.up24" "FRT.down6" "FRT.down24"
"FBgn0014931" "CG2678" "3" "No Signal" 0.3493 0.63120615470534 "NotSpec" 0.700615555664092 1.34728258088691 1.35561717803438 0.772660852775835 0.989928042618694 2.0869461808325 2.29833213084819 "Not" NA NA NA NA NA NA NA 2.81 NA 0 1 1 1.58496250072116 1 3.85798099512757 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0014930" "CG2846" "3" "No Signal" 0.0638 0.546829321685412 "NotSpec" 4.63574372394937 4.5749080907657 4.65739537294124 5.36616384320283 5.0381714035068 5.89961746857552 4.13502079588705 "Not" NA NA NA NA NA NA NA -0.0641 NA 2.58496250072116 4.52356195605701 3.70043971814109 3 3.61470984411521 3.39231742277876 "AG" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0027562" "CG10345" "3" "No Signal" 0.0747 0.823714427868569 "NotSpec" 2.45451477843482 0.276158393623865 0.0694970668600488 0.0254119074059642 0 0 2.45934829363765 "Not" NA NA NA NA NA NA NA -1.75 NA 3.58496250072116 1 2.32192809488736 4.85798099512757 5.29462074889163 0 "Head" NA "Up" "Persist Up" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0
"FBgn0027563" "CG9631" "3" "Signal" 0.2494 0.960166654010901 "FB" 2.51454321873893 1.52453961654037 2.38242193870474 2.32087483367567 2.38412599945649 6.60735604141806 2.33401524735493 "Not" NA NA NA NA NA NA "FB" -1 NA 1 0 1 3.32192809488736 3.52356195605701 0 "Head" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0027560" "Tps1" "2" "No Signal" 0.004 0.950901011280834 "FB" 7.09949244106202 7.72924042820565 8.55602602630695 8.81517761512732 9.2029884496548 12.6704796100332 7.32846183561774 "Not" NA NA NA NA NA NA "FB" -1.39 NA 6.12928301694497 5.55458885167764 7.18982455888002 8.7714894695006 8.34651373316563 1.58496250072116 "Carcass" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0027561" "CG18659" "2" "No Signal" 0.059 0.38379278285589 "NotSpec" 4.89028114830065 5.18213133976376 5.03275964801528 4.9433157112404 5.08131326526528 4.04798689445476 5.58569876475859 "Not" NA NA NA NA NA NA NA -0.112 NA 5.95419631038687 4.58496250072116 3.70043971814109 4.08746284125034 4.49185309632967 5.52356195605701 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0027567" "CG8108" "3" "No Signal" 0.0944 0.794003701051789 "NotSpec" 4.8470601665492 5.21180090101041 4.97205318264336 5.46728778883761 5.30515248458055 4.96045420203453 7.39045378546574 "Not" NA NA NA NA NA NA NA 1.38 NA 6.04439411935845 6.61470984411521 6.56985560833095 7.31288295528436 8.4542992936199 9.36084708417966 "Ovary" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0027564" "CG3149" "X" "No Signal" 0.0395 0.55352865859995 "NotSpec" 4.5372705457634 4.38170163573841 4.37660194640198 5.11322048212982 4.45645888121576 5.7733043789552 4.82939498151544 "Not" NA NA NA NA NA NA NA -0.652 NA 4.16992500144231 2.32192809488736 2.8073549220576 2 2.32192809488736 2.32192809488736 "Testis" "Up" NA "Transient Up" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0
"FBgn0027565" "CG5498" "3" "No Signal" 0.2409 0.257265838254135 "NotSpec" 4.2715808937801 4.46728632580574 3.76175656262733 4.36326440358075 3.89668399305931 3.68417603830921 4.5134990612499 "Not" NA NA NA NA NA NA NA 1 NA 3.32192809488736 3.16992500144231 3.16992500144231 3.4594316186373 3.32192809488736 5.33985000288462 "Ovary" "Down" NA "Transient Down" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0
"FBgn0027568" "Cand1" "2" "No Signal" 0.0224 0.389858768109147 "NotSpec" 4.49669276249986 4.63725078769564 4.73103486992812 5.01044936793901 5.00577986544837 3.69638855373948 5.34703098141499 "Not" NA NA NA NA NA NA NA -0.434 NA 5.61470984411521 4.39231742277876 3 3 3.24792751344359 4.78135971352466 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Up" NA "Transient Up" 0 0 0 0
"FBgn0027569" "cert" "3" "No Signal" 0.0027 0.346456089490331 "NotSpec" 3.88462964201015 3.90950632774478 4.28010947396113 4.85548536702116 4.59945985744148 4.21357300098992 4.55933322003113 "Not" NA NA NA NA NA NA NA 0.305 NA 3.16992500144231 4.8073549220576 3.70043971814109 2.8073549220576 3.24792751344359 4.24792751344359 "AG" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0010438" "mtSSB" "3" "No Signal" 0.0263 0.840983089838733 "NotSpec" 3.2652131456205 3.43166153512796 3.47142074110623 3.36477267910793 3.17756624383635 4.28076186794203 6.09541050217284 "Not" NA NA NA NA NA NA NA 2.7 NA 1.58496250072116 2 3.32192809488736 3 2.58496250072116 5.84549005094437 "Ovary" "Up" NA "Transient Up" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 0 0
"FBgn0037356" "CG12170" "3" "No Signal" 0.0745 0.830991066214118 "NotSpec" 4.97821612300081 4.43002800796144 4.15880116662913 3.54576671991157 3.49641493468831 6.81655487123845 4.66585722063597 "Not" NA NA NA NA NA NA NA -0.231 NA 4.4594316186373 2 2.32192809488736 2.32192809488736 2.32192809488736 2.58496250072116 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0262057" "Spn77Ba" "3" "Signal" 0.1355 0.608935766330186 "NotSpec" 6.85286842195649 6.0482903064264 6.0286638094559 5.00638654719096 4.74702891208959 7.05963103789111 3.40833453957537 "Higher" "Epithelial" "BUR" "OVD" "SR" NA NA "FB" -1.1 NA 2 2.32192809488736 2.8073549220576 4.08746284125034 4.37503943134692 0 "Head" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0030645" "Alg14" "X" "No Signal" 0.0944 0.251846685977667 "NotSpec" 3.0880502892379 2.85074631868784 2.94992600595081 3.30590698914994 3.22597596986989 3.43306742692522 3.53351996300895 "Not" NA NA NA NA NA NA NA -0.138 NA 4.52356195605701 4.24792751344359 2.32192809488736 2.32192809488736 2.90689059560852 3.58496250072116 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0085218" "CG34189" "2" "Signal" 0.3466 0.989089758251956 "PO" 0.743717357867158 0.992483342140356 2.78295045421291 1.11646259818862 7.44034658246509 1.84379212519657 0 "Higher" NA NA "OVD" "SR" NA "PO" NA -3.58 NA 3.58496250072116 2 0 0 0 0 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
"FBgn0010435" "emp" "2" "No Signal" NA 0.76783857296314 "NotSpec" 6.3012029330134 4.29797106834843 5.42526115880958 5.57365856914199 7.4415523448847 5.41921474442253 3.89088466663357 "Higher" NA "BUR" NA NA NA "PO" NA -2.17 NA 6.83289001416474 5.32192809488736 5.4594316186373 6.2667865406949 6.34872815423108 2.16992500144231 "Testis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0
