"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	" Peptides"	" PSMs"	" Unique Peptides"	" AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: A5 Mascot"	" Peptides (by Search Engine): A5 Mascot"	" Razor Peptides"	"Abundances (Grouped): F1"	"Abundances (Grouped) CV [%]: F1"	"Abundance: F1: 126, Sample, control, 1"	"Abundance: F1: 127, Sample, control, 2"	"Abundance: F1: 128, Sample, control, 3"	"Abundance: F1: 129, Sample, no_glands, 1"	"Abundance: F1: 130, Sample, no_glands, 2"	"Abundance: F1: 131, Sample, no_glands, 3"	" Protein Groups"
"-5837604496990578587"	"False"	"High"	"IsMasterProtein"	"FBgn0011559"	"FBgn0011559"	"0.000"	"1533.723"	"75"	"75"	"2328"	"75"	"912"	"101.9"	"8.98"	"50184"	"75"	"0"	"166560.7"	"16.75"	"190011.7"	"196553.8"	"152913.3"	"181426.0"	"127282.3"	"145248.8"	"1"
"-7658656791027148903"	"False"	"High"	"IsMasterProtein"	"FBgn0051872"	"FBgn0051872"	"0.000"	"866.701"	"55"	"47"	"664"	"35"	"1073"	"119.1"	"4.78"	"18303"	"47"	"26"	"58892.4"	"15.69"	"56117.0"	"62326.0"	"52232.2"	"79359.1"	"56143.9"	"61775.4"	"1"
"-952770486104318652"	"False"	"High"	"IsMasterProtein"	"FBgn0264695"	"FBgn0264695"	"0.000"	"610.113"	"58"	"127"	"359"	"127"	"1962"	"224.1"	"6.19"	"8404"	"127"	"0"	"35854.5"	"85.20"	"16100.0"	"14272.4"	"13972.1"	"124836.8"	"97174.5"	"79847.4"	"1"
"-7147657259732538861"	"False"	"High"	"IsMasterProtein"	"FBgn0005666"	"FBgn0005666"	"0.000"	"601.148"	"24"	"179"	"214"	"179"	"8933"	"999.5"	"6.19"	"3697"	"179"	"0"	"18978.6"	"85.33"	"8451.7"	"7687.1"	"7070.9"	"64946.9"	"55178.9"	"42617.4"	"1"
"-3973589334991488607"	"False"	"High"	"IsMasterProtein"	"cRAP054"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	"0.000"	"358.969"	"73"	"45"	"261"	"42"	"644"	"66.0"	"8.12"	"6697"	"45"	"4"	"34378.0"	"18.21"	"21922.8"	"32610.6"	"37919.5"	"38750.7"	"33765.1"	"35001.9"	"1"
"389854648606458922"	"False"	"High"	"IsMasterProtein"	"FBgn0265264"	"FBgn0265264"	"0.000"	"348.463"	"38"	"32"	"384"	"32"	"1087"	"120.5"	"8.62"	"7786"	"32"	"0"	"44746.9"	"21.82"	"49644.4"	"49936.0"	"29532.7"	"53890.2"	"36187.9"	"40332.6"	"1"
"7747498348384732176"	"False"	"High"	"IsMasterProtein"	"FBgn0013733"	"FBgn0013733"	"0.000"	"347.262"	"15"	"116"	"124"	"116"	"8805"	"988.9"	"5.71"	"2480"	"116"	"0"	"6842.2"	"89.65"	"3044.3"	"2879.3"	"2175.8"	"26625.9"	"15377.8"	"18659.1"	"1"
"7989790464056543145"	"False"	"High"	"IsMasterProtein"	"cRAP041"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	"0.000"	"304.709"	"66"	"30"	"190"	"30"	"623"	"62.0"	"5.24"	"5901"	"30"	"0"	"17951.5"	"19.02"	"11042.7"	"15799.2"	"17467.5"	"20135.8"	"18658.0"	"18448.9"	"1"
"-6605193621902288169"	"False"	"High"	"IsMasterProtein"	"cRAP053"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	"0.000"	"273.958"	"65"	"39"	"137"	"36"	"639"	"65.4"	"8.00"	"3873"	"39"	"0"	"14336.8"	"20.73"	"11480.1"	"15555.4"	"18636.9"	"18138.7"	"12074.6"	"13213.7"	"1"
"-60068041992893660"	"False"	"High"	"IsMasterProtein"	"FBgn0250789"	"FBgn0250789"	"0.000"	"265.167"	"32"	"75"	"95"	"75"	"2457"	"282.4"	"5.20"	"2279"	"75"	"0"	"8035.0"	"94.06"	"3460.8"	"2586.9"	"1987.9"	"31446.2"	"18654.9"	"18664.1"	"1"
